mode,team_contacting,date_contacted,content_object
social_media,marketing,2/26/21,Lead
mail,sales,2/16/21,Client
social_media,marketing,11/27/20,Client
social_media,sales,1/17/21,Lead
mail,sales,3/7/21,Client
social_media,support,3/13/21,Client
mail,sales,10/18/20,Lead
email,sales,8/12/20,Client
mail,support,3/7/21,Lead
phone,support,10/4/20,Lead
social_media,support,7/25/20,Client
social_media,sales,5/19/21,Lead
mail,sales,4/14/21,Lead
phone,support,1/5/21,Lead
phone,support,5/30/21,Lead
email,marketing,8/17/20,Client
mail,sales,11/11/20,Client
phone,support,1/20/21,Client
phone,support,4/11/21,Client
social_media,support,6/19/20,Client
mail,support,1/24/21,Client
phone,marketing,11/26/20,Lead
mail,sales,5/31/20,Client
social_media,support,1/29/21,Client
mail,support,5/3/21,Lead
social_media,marketing,1/19/21,Lead
phone,sales,4/6/21,Client
mail,marketing,3/1/21,Client
email,sales,1/8/21,Client
social_media,marketing,11/29/20,Lead
social_media,support,4/11/21,Client
email,marketing,9/29/20,Client
phone,sales,2/16/21,Client
mail,sales,2/5/21,Lead
mail,marketing,2/18/21,Client
social_media,support,7/10/20,Lead
phone,sales,8/11/20,Lead
email,marketing,3/3/21,Client
social_media,support,1/21/21,Client
email,sales,12/25/20,Client
mail,marketing,11/26/20,Client
mail,sales,7/14/20,Lead
social_media,sales,2/22/21,Client
phone,sales,4/21/21,Client
mail,marketing,8/2/20,Lead
email,marketing,7/1/20,Client
social_media,marketing,8/26/20,Client
mail,marketing,4/27/21,Client
social_media,marketing,12/21/20,Client
phone,marketing,4/22/21,Client
email,sales,12/15/20,Lead
email,support,4/29/21,Client
email,marketing,2/17/21,Lead
phone,sales,5/3/21,Lead
mail,sales,8/12/20,Client
phone,support,2/26/21,Client
social_media,marketing,2/11/21,Client
mail,support,4/21/21,Lead
phone,marketing,10/6/20,Client
mail,marketing,5/24/21,Client
email,support,5/8/21,Lead
mail,marketing,1/27/21,Lead
email,sales,11/19/20,Lead
mail,support,4/20/21,Lead
social_media,sales,2/2/21,Client
social_media,marketing,5/24/21,Client
mail,marketing,12/22/20,Client
email,sales,11/23/20,Lead
email,sales,4/28/21,Lead
mail,marketing,4/28/21,Client
phone,support,9/17/20,Client
mail,support,7/17/20,Client
mail,sales,10/19/20,Lead
phone,support,5/25/21,Lead
phone,support,5/20/21,Lead
mail,sales,5/8/21,Lead
phone,support,11/23/20,Lead
phone,sales,5/3/21,Client
email,support,3/1/21,Lead
email,marketing,9/11/20,Client
phone,marketing,5/26/21,Lead
mail,sales,12/23/20,Lead
social_media,support,4/19/21,Client
phone,marketing,3/15/21,Client
phone,marketing,11/18/20,Lead
mail,sales,4/15/21,Lead
social_media,marketing,3/30/21,Lead
email,sales,2/22/21,Lead
social_media,sales,7/22/20,Client
phone,support,9/15/20,Client
phone,marketing,11/15/20,Lead
mail,sales,10/29/20,Client
social_media,marketing,3/19/21,Client
email,support,11/28/20,Lead
social_media,sales,5/28/21,Client
